what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233425793101
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233425871855
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233425873105
started,bundle,eclipseme.toolkit.motorola,1.7.7,eclipseme.toolkit.motorola,1233426196187
started,bundle,eclipseme.toolkit.me4se,1.7.7,eclipseme.toolkit.me4se,1233426196194
started,bundle,eclipseme.toolkit.microemu,1.7.8,eclipseme.toolkit.microemu,1233426196201
started,bundle,eclipseme.toolkit.mpowerplayer,1.7.7,eclipseme.toolkit.mpowerplayer,1233426196206
started,bundle,eclipseme.toolkit.uei,1.7.8,eclipseme.toolkit.uei,1233426196212
started,bundle,eclipseme.core.preverifier,1.6.7,eclipseme.core.preverifier,1233426202886
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426220884
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426231173
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426235060
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426255415
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426279051
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426280793
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426283775
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426283838
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426283849
opened,editor,eclipseme.ui,1.7.8,eclipseme.ui.editor.JadEditor,1233426287671
activated,editor,eclipseme.ui,1.7.8,eclipseme.ui.editor.JadEditor,1233426287687
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426290269
activated,editor,eclipseme.ui,1.7.8,eclipseme.ui.editor.JadEditor,1233426297604
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426297644
closed,editor,eclipseme.ui,1.7.8,eclipseme.ui.editor.JadEditor,1233426297644
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426302310
