what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233358934798
closed,view,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets.views.CheatSheetView,1233358934822
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233358937934
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233358945747
opened,view,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets.views.CheatSheetView,1233358945788
activated,view,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets.views.CheatSheetView,1233358945835
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233358968419
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359161909
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233359165732
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359168020
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359489856
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359491454
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359493982
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359493991
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359501695
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359508745
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359990487
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233359992302
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233360016589
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233360022800
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1233360023688
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233360025050
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1233360028590
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1233360033637
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233360058048
