what,kind,bundleId,bundleVersion,description,time
started,bundle,eclipseme.core,1.7.9,eclipseme.core,1233426724931
started,bundle,eclipseme.core.hooks,1.6.5,eclipseme.core.hooks,1233426724932
started,bundle,eclipseme.core.preverifier,1.6.7,eclipseme.core.preverifier,1233426724932
started,bundle,eclipseme.toolkit.uei,1.7.8,eclipseme.toolkit.uei,1233426724933
started,bundle,eclipseme.ui,1.7.8,eclipseme.ui,1233426724934
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426761024
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426782043
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426784168
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1233426793304
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1233426793471
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426793811
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426793912
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426793936
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1233426794405
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1233426794409
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426799022
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426811489
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426812633
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426814590
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426822604
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426830074
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426843127
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426844434
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426844541
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1233426844982
