what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1233426573362
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233426573362
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426585793
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426593116
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426595123
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426606356
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426627394
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426629972
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426639111
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426641764
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1233426641780
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426660934
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233426666641
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426674444
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426677242
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426682322
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426685422
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426688133
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426696322
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426699353
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426699368
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426700178
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426701578
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1233426701603
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1233426701617
