what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1233426512363
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426514712
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426516376
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426517685
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426517774
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.openLocalFile,1233426517775
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426519311
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426521620
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426521664
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1233426527234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426530435
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426535145
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1233426535280
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1233426535302
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.openLocalFile,1233426535310
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233426537344
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1233426537345
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233426553301
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1233426559331
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426565584
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426569288
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1233426569304
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233426569304
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426571765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233426573336
